id,user_message,store_label,memory_category,importance_score,memory_text,rationale,source_file
tc_034,I'm hosting relatives for the next few days.,1,temporary_context,2,User is hosting relatives for the next few days.,Temporary context.,temporary1.csv
dns_111,I had oatmeal this morning.,0,do_not_store,1,,Single meal detail.,nostore2.csv
cc_046,I have a strict monthly budget of $150 for eating out.,1,critical_constraint,5,User has a strict monthly eating-out budget of $150.,Financial constraint affects recommendations.,constraints1.csv
sp_099,I love mountain vacations.,1,stable_preference_goal,4,User prefers mountain vacations.,Stable preference likely useful in future conversations.,preference1.csv
tc_163,I'm spending the week repainting the fence.,1,temporary_context,2,User is repainting the fence this week.,Temporary project.,temporary2.csv
sp_085,I like minimalist design.,1,stable_preference_goal,4,User prefers minimalist design.,Stable preference likely useful in future conversations.,preference1.csv
dns_156,I saw construction on my way here.,0,do_not_store,1,,Passing observation.,nostore2.csv
dns_070,I'm standing in the checkout line.,0,do_not_store,1,,Current activity.,nostore1.csv
cc_178,I cannot eat mustard.,1,critical_constraint,5,User has a mustard allergy.,Food.,constraints2.csv
sp_035,I really enjoy birdwatching.,1,stable_preference_goal,4,User enjoys birdwatching.,Stable hobby or interest.,preference1.csv
tc_118,I'm decorating for Halloween this week.,1,temporary_context,2,User is decorating for Halloween this week.,Seasonal task.,temporary2.csv
tc_106,I'm flying to Seattle for work next Tuesday.,1,temporary_context,2,User is flying to Seattle for work next Tuesday.,Upcoming travel.,temporary2.csv
tc_112,I'm using a standing desk while my chair is being repaired.,1,temporary_context,2,User is temporarily using a standing desk.,Temporary arrangement.,temporary2.csv
rc_173,I normally water the garden every Wednesday.,1,useful_recurring_context,3,User waters the garden every Wednesday.,Recurring gardening routine.,recurrent2.csv
cc_164,I have severe allergies to horses.,1,critical_constraint,5,User has severe horse allergies.,Allergy.,constraints2.csv
sp_067,I'm hoping to travel to Japan next spring.,1,stable_preference_goal,4,User's goal is to travel to Japan.,Stable long-term goal or aspiration.,preference1.csv
sp_124,I always travel with a camera.,1,stable_preference_goal,4,User likes traveling with a camera.,Travel habit.,preference2.csv
sp_196,I prefer mountain biking over road biking.,1,stable_preference_goal,4,User prefers mountain biking.,Sports preference.,preference2.csv
rc_070,I usually save administrative tasks for Friday afternoons.,1,useful_recurring_context,3,User usually does administrative tasks on Friday afternoons.,Recurring workflow.,recurrent1.csv
rc_074,I usually take my vitamins with breakfast.,1,useful_recurring_context,3,User takes vitamins with breakfast.,Recurring health routine.,recurrent1.csv
sp_175,I love exploring local history.,1,stable_preference_goal,4,User enjoys local history.,Interest.,preference2.csv
sp_109,I prefer boutique coffee shops to large chains.,1,stable_preference_goal,4,User prefers boutique coffee shops.,Preference.,preference2.csv
tc_156,I'm helping with inventory this week.,1,temporary_context,2,User is helping with inventory this week.,Temporary work task.,temporary2.csv
tc_046,I'm preparing for a conference next week.,1,temporary_context,2,User is preparing for a conference.,Short-term work context.,temporary1.csv
cc_010,I can't take ibuprofen because it interacts badly with my medication.,1,critical_constraint,5,User cannot take ibuprofen because of a medication interaction.,Medication interaction is safety-critical.,constraints1.csv
rc_073,I typically work from the library on Saturdays.,1,useful_recurring_context,3,User usually works from the library on Saturdays.,Recurring work location.,recurrent1.csv
rc_115,I normally call my brother on Wednesdays.,1,useful_recurring_context,3,User calls their brother on Wednesdays.,Recurring family routine.,recurrent2.csv
sp_181,I like taking long walks after dinner.,1,stable_preference_goal,4,User enjoys walking after dinner.,Lifestyle.,preference2.csv
sp_098,I enjoy small group gatherings more than big parties.,1,stable_preference_goal,4,User prefers small group gatherings.,Stable preference likely useful in future conversations.,preference1.csv
sp_182,I enjoy sewing my own clothes.,1,stable_preference_goal,4,User enjoys sewing.,Hobby.,preference2.csv
dns_195,The clouds look dark.,0,do_not_store,1,,Short-term observation.,nostore2.csv
dns_123,I'm charging my headphones.,0,do_not_store,1,,Current activity.,nostore2.csv
rc_056,I usually go to the climbing gym twice a week.,1,useful_recurring_context,3,User usually goes climbing twice a week.,Recurring hobby.,recurrent1.csv
sp_108,I usually avoid crowded tourist attractions.,1,stable_preference_goal,4,User prefers avoiding crowded tourist attractions.,Travel preference.,preference2.csv
tc_004,I'm visiting my sister this weekend.,1,temporary_context,2,User is visiting their sister this weekend.,Upcoming plan.,temporary1.csv
sp_097,I prefer paper planners over digital calendars.,1,stable_preference_goal,4,User prefers paper planners.,Stable preference likely useful in future conversations.,preference1.csv
sp_093,I prefer shopping in person instead of online.,1,stable_preference_goal,4,User prefers shopping in person.,Stable preference likely useful in future conversations.,preference1.csv
dns_138,The music is loud in here.,0,do_not_store,1,,Temporary observation.,nostore2.csv
sp_042,I collect vinyl records.,1,stable_preference_goal,4,User collects vinyl records.,Stable hobby or interest.,preference1.csv
tc_166,I'm preparing care packages for the holidays.,1,temporary_context,2,User is preparing holiday care packages.,Seasonal task.,temporary2.csv
sp_011,I always choose vegetarian restaurants when I can.,1,stable_preference_goal,4,User prefers vegetarian restaurants.,Stable food or drink preference.,preference1.csv
dns_013,I just finished lunch.,0,do_not_store,1,,Current activity.,nostore1.csv
rc_068,I usually cook dinner at home during the week.,1,useful_recurring_context,3,User usually cooks dinner at home on weekdays.,Recurring habit.,recurrent1.csv
cc_200,I need easy access to drinking water because of my condition.,1,critical_constraint,5,User needs frequent access to drinking water.,Medical.,constraints2.csv
sp_121,I like listening to lo-fi music while I work.,1,stable_preference_goal,4,User prefers lo-fi music while working.,Preference.,preference2.csv
dns_172,I heard thunder earlier.,0,do_not_store,1,,Temporary observation.,nostore2.csv
rc_095,I check in with my team every morning.,1,useful_recurring_context,3,User checks in with their team every morning.,Recurring work routine.,recurrent1.csv
dns_148,I couldn't find a seat.,0,do_not_store,1,,Temporary situation.,nostore2.csv
dns_032,I'm wearing my blue sweater.,0,do_not_store,1,,Current detail.,nostore1.csv
tc_089,I'm learning a dance for a wedding.,1,temporary_context,2,User is learning a dance for an upcoming wedding.,Temporary preparation.,temporary1.csv
tc_022,I'm out of town until Friday.,1,temporary_context,2,User is out of town until Friday.,Temporary location.,temporary1.csv
dns_200,The vending machine was empty.,0,do_not_store,1,,Temporary observation.,nostore2.csv
dns_189,The hallway smelled like paint.,0,do_not_store,1,,Temporary observation.,nostore2.csv
dns_194,I just threw out the trash.,0,do_not_store,1,,Completed chore.,nostore2.csv
rc_046,I meet my running group every Wednesday evening.,1,useful_recurring_context,3,User meets their running group every Wednesday evening.,Recurring commitment.,recurrent1.csv
rc_064,I check my investments every quarter.,1,useful_recurring_context,3,User reviews investments quarterly.,Recurring financial habit.,recurrent1.csv
sp_133,I'm working on reducing my screen time.,1,stable_preference_goal,4,User's goal is to reduce screen time.,Goal.,preference2.csv
cc_152,I cannot be in direct sun for extended periods.,1,critical_constraint,5,User cannot remain in direct sun for extended periods.,Medical.,constraints2.csv
tc_014,I'm house-sitting for my cousin this weekend.,1,temporary_context,2,User is house-sitting this weekend.,Temporary responsibility.,temporary1.csv
tc_121,I'm taking care of my neighbor's mail while they're away.,1,temporary_context,2,User is collecting a neighbor's mail temporarily.,Temporary responsibility.,temporary2.csv
rc_041,I take my recycling out every Wednesday night.,1,useful_recurring_context,3,User takes recycling out every Wednesday night.,Recurring chore.,recurrent1.csv
rc_199,I usually review my running plan every Sunday night.,1,useful_recurring_context,3,User reviews running plan on Sunday nights.,Recurring planning.,recurrent2.csv
cc_012,I have a serious tree nut allergy.,1,critical_constraint,5,User has a serious tree nut allergy.,Allergy is critical for food-related suggestions.,constraints1.csv
rc_184,I usually visit the gym before grocery shopping.,1,useful_recurring_context,3,User usually visits the gym before grocery shopping.,Recurring routine.,recurrent2.csv
sp_163,I prefer hardcover notebooks.,1,stable_preference_goal,4,User prefers hardcover notebooks.,Preference.,preference2.csv
sp_129,I'm saving up to buy my first home.,1,stable_preference_goal,4,User's goal is to buy a first home.,Financial goal.,preference2.csv
tc_182,I'm preparing for jury selection tomorrow.,1,temporary_context,2,User is preparing for jury selection tomorrow.,Upcoming obligation.,temporary2.csv
dns_048,I'm looking for a parking spot.,0,do_not_store,1,,Current situation.,nostore1.csv
dns_166,I just checked the mail.,0,do_not_store,1,,Completed task.,nostore2.csv
tc_136,I'm spending the week cleaning out the attic.,1,temporary_context,2,User is cleaning out the attic this week.,Temporary project.,temporary2.csv
rc_097,I normally save Saturdays for home improvement projects.,1,useful_recurring_context,3,User usually spends Saturdays on home improvement projects.,Recurring habit.,recurrent1.csv
cc_020,I am in recovery and need to avoid alcohol-focused events.,1,critical_constraint,5,User is in recovery and needs to avoid alcohol-focused events.,Safety/health constraint affects event recommendations.,constraints1.csv
sp_194,I enjoy trying new soup recipes.,1,stable_preference_goal,4,User enjoys trying soup recipes.,Interest.,preference2.csv
rc_080,I usually work on personal projects after dinner.,1,useful_recurring_context,3,User usually works on personal projects after dinner.,Recurring habit.,recurrent1.csv
rc_198,I normally update my reading list every month.,1,useful_recurring_context,3,User updates reading list monthly.,Recurring learning habit.,recurrent2.csv
rc_130,I always check my plants before leaving town.,1,useful_recurring_context,3,User checks plants before traveling.,Recurring habit.,recurrent2.csv
cc_081,I can't be around strong smells because they trigger my asthma.,1,critical_constraint,5,Strong smells trigger user's asthma.,Medical trigger affects venue and product recommendations.,constraints1.csv
sp_084,I prefer manual transmission cars.,1,stable_preference_goal,4,User prefers manual transmission cars.,Stable preference likely useful in future conversations.,preference1.csv
sp_177,I like handmade gifts more than store-bought ones.,1,stable_preference_goal,4,User prefers handmade gifts.,Preference.,preference2.csv
tc_007,I'm taking vacation next week.,1,temporary_context,2,User is on vacation next week.,Short-term schedule.,temporary1.csv
cc_106,I need all videos to have captions.,1,critical_constraint,5,User needs captions on all videos.,Accessibility requirement.,constraints2.csv
cc_065,I can't accept jobs that require security clearance because I'm not eligible.,1,critical_constraint,5,User cannot accept jobs requiring security clearance because they are not eligible.,Hard employment constraint affects job recommendations.,constraints1.csv
rc_113,I meet my chess club every Thursday night.,1,useful_recurring_context,3,User meets with their chess club every Thursday night.,Recurring activity.,recurrent2.csv
tc_120,I'm staying with my aunt during my internship.,1,temporary_context,2,User is staying with their aunt during an internship.,Temporary lodging.,temporary2.csv
cc_148,I cannot attend events with strobe lights.,1,critical_constraint,5,User cannot attend events with strobe lights.,Medical.,constraints2.csv
tc_051,I'm wearing a cast for the next six weeks.,1,temporary_context,2,User is wearing a cast for six weeks.,Temporary medical context.,temporary1.csv
dns_187,The popcorn was fresh.,0,do_not_store,1,,Momentary opinion.,nostore2.csv
tc_185,I'm organizing supplies for the school fundraiser.,1,temporary_context,2,User is organizing fundraiser supplies.,Temporary task.,temporary2.csv
cc_110,I can't eat mushrooms because I'm allergic to them.,1,critical_constraint,5,User has a mushroom allergy.,Food allergy.,constraints2.csv
dns_062,The coffee shop was crowded.,0,do_not_store,1,,Passing observation.,nostore1.csv
sp_130,I'd like to write a cookbook one day.,1,stable_preference_goal,4,User's goal is to write a cookbook.,Goal.,preference2.csv
sp_073,I'd love to run a half marathon.,1,stable_preference_goal,4,User's goal is to run a half marathon.,Stable long-term goal or aspiration.,preference1.csv
rc_078,I usually do my long bike rides on Sundays.,1,useful_recurring_context,3,User usually does long bike rides on Sundays.,Recurring exercise.,recurrent1.csv
sp_052,I'm trying to save for a house.,1,stable_preference_goal,4,User's goal is to save for a house.,Stable long-term goal or aspiration.,preference1.csv
rc_141,I typically send birthday cards at the beginning of each month.,1,useful_recurring_context,3,User sends birthday cards monthly.,Recurring routine.,recurrent2.csv
rc_020,I water my plants every Saturday.,1,useful_recurring_context,3,User waters plants every Saturday.,Recurring habit.,recurrent1.csv
rc_038,I work late every Thursday.,1,useful_recurring_context,3,User usually works late on Thursdays.,Recurring schedule.,recurrent1.csv
cc_181,I need noise-canceling environments to manage sensory overload.,1,critical_constraint,5,User needs quiet environments due to sensory overload.,Accessibility.,constraints2.csv
tc_150,I'm planning a surprise anniversary dinner.,1,temporary_context,2,User is planning a surprise anniversary dinner.,Temporary project.,temporary2.csv
dns_010,I can't believe it's already Tuesday.,0,do_not_store,1,,Passing comment.,nostore1.csv
cc_055,"I get motion sickness very easily, so boats and winding bus rides are bad for me.",1,critical_constraint,5,User gets motion sickness easily and should avoid boats and winding bus rides.,Travel/activity constraint should be remembered.,constraints1.csv
tc_058,I'm renovating my bathroom right now.,1,temporary_context,2,User is renovating their bathroom.,Temporary project.,temporary1.csv
cc_035,I cannot eat pork for religious reasons.,1,critical_constraint,5,User cannot eat pork for religious reasons.,Religious dietary constraint should be stored.,constraints1.csv
tc_174,I'm waiting for the plumber to arrive.,1,temporary_context,2,User is waiting for the plumber.,Temporary status.,temporary2.csv
rc_196,I typically meal plan with my partner every Saturday.,1,useful_recurring_context,3,User meal plans with partner every Saturday.,Recurring family routine.,recurrent2.csv
tc_040,I'm going camping this weekend.,1,temporary_context,2,User is going camping this weekend.,Upcoming trip.,temporary1.csv
rc_027,I clean my apartment every Saturday morning.,1,useful_recurring_context,3,User cleans their apartment every Saturday morning.,Recurring chore.,recurrent1.csv
cc_121,I have severe anxiety about bridges and avoid driving over them.,1,critical_constraint,5,User avoids driving over bridges due to severe anxiety.,Travel constraint.,constraints2.csv
rc_143,I always sharpen my kitchen knives every few months.,1,useful_recurring_context,3,User sharpens kitchen knives every few months.,Recurring maintenance.,recurrent2.csv
dns_203,I just zipped up my backpack.,0,do_not_store,1,,Completed action.,nostore2.csv
cc_082,I have a severe dust allergy.,1,critical_constraint,5,User has a severe dust allergy.,Allergy affects environment recommendations.,constraints1.csv
tc_021,I'm attending a wedding this Saturday.,1,temporary_context,2,User is attending a wedding this Saturday.,Upcoming event.,temporary1.csv
tc_187,I'm spending this weekend assembling furniture.,1,temporary_context,2,User is assembling furniture this weekend.,Temporary project.,temporary2.csv
sp_094,I like keeping my workspace very organized.,1,stable_preference_goal,4,User prefers an organized workspace.,Stable preference likely useful in future conversations.,preference1.csv
rc_079,I have coffee with my neighbor every Tuesday.,1,useful_recurring_context,3,User has coffee with their neighbor every Tuesday.,Recurring social activity.,recurrent1.csv
rc_081,I always back up my computer at the end of the month.,1,useful_recurring_context,3,User backs up their computer monthly.,Recurring task.,recurrent1.csv
sp_171,I love gardening with native plants.,1,stable_preference_goal,4,User enjoys gardening with native plants.,Interest.,preference2.csv
sp_060,I'm learning guitar this year.,1,stable_preference_goal,4,User's goal is to learn guitar.,Stable long-term goal or aspiration.,preference1.csv
sp_140,I'm trying to become a stronger swimmer.,1,stable_preference_goal,4,User's goal is to become a stronger swimmer.,Goal.,preference2.csv
dns_114,I need to grab my jacket.,0,do_not_store,1,,Immediate task.,nostore2.csv
sp_017,I prefer iced coffee even in winter.,1,stable_preference_goal,4,User prefers iced coffee.,Stable food or drink preference.,preference1.csv
tc_081,I'm volunteering at the festival this weekend.,1,temporary_context,2,User is volunteering at a festival this weekend.,Temporary event.,temporary1.csv
rc_119,I always write thank-you notes after interviews.,1,useful_recurring_context,3,User writes thank-you notes after interviews.,Recurring professional habit.,recurrent2.csv
tc_087,I'm spending the weekend at the beach.,1,temporary_context,2,User is spending the weekend at the beach.,Short-term travel.,temporary1.csv
cc_101,I'm deathly allergic to strawberries.,1,critical_constraint,5,User has a severe strawberry allergy.,Food allergy.,constraints2.csv
cc_002,I'm allergic to shellfish and need to avoid it completely.,1,critical_constraint,5,User is allergic to shellfish and must avoid it completely.,Severe allergy should be remembered to prevent unsafe recommendations.,constraints1.csv
tc_077,I'm getting my passport renewed.,1,temporary_context,2,User is renewing their passport.,Temporary administrative task.,temporary1.csv
dns_031,My flight was delayed today.,0,do_not_store,1,,Temporary travel update.,nostore1.csv
rc_167,I usually answer personal texts after work.,1,useful_recurring_context,3,User answers personal texts after work.,Recurring communication habit.,recurrent2.csv
dns_076,I'm watching a documentary tonight.,0,do_not_store,1,,One-time activity.,nostore1.csv
tc_138,I'm getting over food poisoning.,1,temporary_context,2,User is recovering from food poisoning.,Temporary health context.,temporary2.csv
tc_054,I'm using a rental car this week.,1,temporary_context,2,User is using a rental car this week.,Temporary arrangement.,temporary1.csv
tc_013,I left my car at the mechanic.,1,temporary_context,2,User's car is at the mechanic.,Temporary circumstance.,temporary1.csv
cc_023,"I can't do stairs, so please only suggest places with elevators or step-free access.",1,critical_constraint,5,User cannot do stairs and needs step-free access or elevators.,Accessibility constraint affects venue suggestions.,constraints1.csv
sp_192,I love collecting houseplants.,1,stable_preference_goal,4,User collects houseplants.,Hobby.,preference2.csv
cc_184,I have severe reactions to mosquito bites.,1,critical_constraint,5,User has severe reactions to mosquito bites.,Health.,constraints2.csv
dns_096,The cashier was really friendly.,0,do_not_store,1,,Passing observation.,nostore1.csv
rc_166,I typically update my planner every evening.,1,useful_recurring_context,3,User updates planner every evening.,Recurring planning habit.,recurrent2.csv
sp_106,I like planning trips months in advance.,1,stable_preference_goal,4,User prefers planning trips well in advance.,Travel preference.,preference2.csv
rc_165,I always review my grocery list before leaving.,1,useful_recurring_context,3,User reviews grocery list before shopping.,Recurring routine.,recurrent2.csv
dns_061,I finished that episode.,0,do_not_store,1,,Completed activity.,nostore1.csv
tc_157,I'm attending orientation for my new job tomorrow.,1,temporary_context,2,User is attending new job orientation tomorrow.,Upcoming event.,temporary2.csv
dns_029,I'm running five minutes late.,0,do_not_store,1,,Temporary schedule update.,nostore1.csv
tc_175,I'm trying contact lenses for the first time.,1,temporary_context,2,User is trying contact lenses.,Temporary experiment.,temporary2.csv
cc_048,"I'm currently unemployed, so please keep recommendations very low-cost.",1,critical_constraint,5,User is currently unemployed and needs very low-cost recommendations.,Financial constraint affects future suggestions.,constraints1.csv
tc_095,I'm fixing my bicycle this weekend.,1,temporary_context,2,User is fixing their bicycle this weekend.,Temporary project.,temporary1.csv
cc_143,I have severe OCD triggers around contamination.,1,critical_constraint,5,User has contamination-related OCD triggers.,Mental health.,constraints2.csv
tc_122,I'm trying physical therapy for the next month.,1,temporary_context,2,User is attending physical therapy for the next month.,Temporary medical context.,temporary2.csv
cc_138,I need low-sugar dessert recommendations because I'm diabetic.,1,critical_constraint,5,User needs low-sugar desserts due to diabetes.,Medical.,constraints2.csv
cc_177,I need handrails whenever possible.,1,critical_constraint,5,User needs handrails whenever possible.,Accessibility.,constraints2.csv
dns_150,I just watered the flowers.,0,do_not_store,1,,Completed task.,nostore2.csv
sp_072,I'm trying to build a morning routine.,1,stable_preference_goal,4,User's goal is to build a morning routine.,Stable long-term goal or aspiration.,preference1.csv
cc_031,I can't eat spicy food because it triggers my acid reflux badly.,1,critical_constraint,5,User cannot eat spicy food because it triggers severe acid reflux.,Health-related food constraint should be remembered.,constraints1.csv
tc_114,I'm staying off caffeine until my doctor's appointment.,1,temporary_context,2,User is temporarily avoiding caffeine until a doctor's appointment.,Temporary health context.,temporary2.csv
cc_030,I have a latex allergy.,1,critical_constraint,5,User has a latex allergy.,Allergy is a safety-critical constraint.,constraints1.csv
rc_075,I attend networking events about once a month.,1,useful_recurring_context,3,User attends networking events monthly.,Recurring professional activity.,recurrent1.csv
sp_088,I always choose hardcover books.,1,stable_preference_goal,4,User prefers hardcover books.,Stable preference likely useful in future conversations.,preference1.csv
rc_010,I visit my grandmother every other weekend.,1,useful_recurring_context,3,User visits their grandmother every other weekend.,Recurring commitment.,recurrent1.csv
rc_088,I have lunch with my coworkers every Wednesday.,1,useful_recurring_context,3,User has lunch with coworkers every Wednesday.,Recurring social event.,recurrent1.csv
rc_036,I normally pay my bills on the first of the month.,1,useful_recurring_context,3,User pays bills on the first of each month.,Recurring task.,recurrent1.csv
rc_163,I normally make a playlist before long drives.,1,useful_recurring_context,3,User creates playlists before long drives.,Recurring travel habit.,recurrent2.csv
tc_031,I'm taking my cat to the vet tomorrow.,1,temporary_context,2,User has a vet appointment tomorrow.,Upcoming appointment.,temporary1.csv
rc_164,I usually schedule dentist appointments on Fridays.,1,useful_recurring_context,3,User prefers Friday dentist appointments.,Recurring scheduling pattern.,recurrent2.csv
dns_057,I got caught in the rain.,0,do_not_store,1,,One-time event.,nostore1.csv
cc_087,I avoid leather for ethical reasons.,1,critical_constraint,5,User avoids leather for ethical reasons.,Ethical constraint affects shopping recommendations.,constraints1.csv
rc_052,I stretch every morning.,1,useful_recurring_context,3,User stretches every morning.,Recurring wellness habit.,recurrent1.csv
cc_198,I need extra legroom because of knee replacements.,1,critical_constraint,5,User needs extra legroom due to knee replacements.,Travel.,constraints2.csv
dns_115,This coffee tastes great.,0,do_not_store,1,,Momentary opinion.,nostore2.csv
cc_102,Please never recommend restaurants without gluten-free options because I have celiac disease.,1,critical_constraint,5,User has celiac disease and requires gluten-free options.,Medical dietary restriction.,constraints2.csv
dns_154,I finished another chapter.,0,do_not_store,1,,Completed activity.,nostore2.csv
dns_044,The restaurant was busy.,0,do_not_store,1,,One-time observation.,nostore1.csv
cc_129,I can't stay somewhere without air conditioning because of my medical condition.,1,critical_constraint,5,User requires air conditioning because of a medical condition.,Health.,constraints2.csv
sp_070,I'm working toward my scuba certification.,1,stable_preference_goal,4,User's goal is to earn scuba certification.,Stable long-term goal or aspiration.,preference1.csv
dns_165,I had a busy afternoon.,0,do_not_store,1,,Short-lived summary.,nostore2.csv
cc_072,"I have eczema and need gentle, fragrance-free skincare.",1,critical_constraint,5,User has eczema and needs gentle fragrance-free skincare.,Health constraint affects product recommendations.,constraints1.csv
tc_173,I'm staying in a hotel while my house is fumigated.,1,temporary_context,2,User is staying in a hotel during home fumigation.,Temporary lodging.,temporary2.csv
tc_001,I'm flying to Chicago tomorrow.,1,temporary_context,2,User is flying to Chicago tomorrow.,Short-term travel plan.,temporary1.csv
tc_002,I have a dentist appointment this Friday.,1,temporary_context,2,User has a dentist appointment this Friday.,One-time appointment.,temporary1.csv
cc_016,I need halal food only.,1,critical_constraint,5,User requires halal food.,Strict dietary constraint affects future restaurant and food recommendations.,constraints1.csv
cc_094,I follow a low-FODMAP diet for medical reasons.,1,critical_constraint,5,User follows a low-FODMAP diet for medical reasons.,Medical dietary constraint should be remembered.,constraints1.csv
cc_168,I have severe eczema triggered by wool.,1,critical_constraint,5,User has eczema triggered by wool.,Health.,constraints2.csv
dns_030,The line at the store was really long.,0,do_not_store,1,,One-time observation.,nostore1.csv
rc_150,I always make holiday travel plans in October.,1,useful_recurring_context,3,User makes holiday travel plans each October.,Recurring planning.,recurrent2.csv
rc_045,I usually visit the farmers market on Saturdays.,1,useful_recurring_context,3,User usually visits the farmers market on Saturdays.,Recurring activity.,recurrent1.csv
rc_072,I always charge my electric car overnight.,1,useful_recurring_context,3,User charges their electric car overnight.,Recurring habit.,recurrent1.csv
cc_165,I need low-impact workouts only.,1,critical_constraint,5,User needs low-impact workouts.,Health.,constraints2.csv
cc_112,I cannot work past 6 p.m. because I have to administer medication to a family member.,1,critical_constraint,5,User cannot work past 6 p.m. due to caregiving responsibilities.,Scheduling constraint.,constraints2.csv
dns_158,I just tied my shoes.,0,do_not_store,1,,Completed action.,nostore2.csv
rc_050,I typically spend my lunch break reading.,1,useful_recurring_context,3,User usually reads during lunch.,Recurring habit.,recurrent1.csv
dns_035,I'm excited for the weekend.,0,do_not_store,1,,Temporary emotion.,nostore1.csv
rc_006,My book club meets on the first Thursday of every month.,1,useful_recurring_context,3,User's book club meets on the first Thursday of every month.,Recurring event.,recurrent1.csv
tc_049,I'm reading a book for class.,1,temporary_context,2,User is reading a book for class.,Current assignment.,temporary1.csv
rc_037,I visit the library every other Tuesday.,1,useful_recurring_context,3,User visits the library every other Tuesday.,Recurring habit.,recurrent1.csv
tc_117,I'm attending a hackathon this weekend.,1,temporary_context,2,User is attending a hackathon this weekend.,Upcoming event.,temporary2.csv
tc_186,I'm writing holiday thank-you cards tonight.,1,temporary_context,2,User is writing holiday thank-you cards tonight.,Temporary task.,temporary2.csv
rc_110,I usually read scientific papers on Saturday mornings.,1,useful_recurring_context,3,User usually reads scientific papers on Saturday mornings.,Recurring learning habit.,recurrent2.csv
sp_172,I prefer early flights.,1,stable_preference_goal,4,User prefers early flights.,Travel preference.,preference2.csv
cc_159,I can't sit for more than an hour without stretching.,1,critical_constraint,5,User cannot sit for long periods.,Physical.,constraints2.csv
dns_101,I just finished my coffee.,0,do_not_store,1,,Completed momentary activity.,nostore2.csv
tc_088,I'm organizing my tax documents today.,1,temporary_context,2,User is organizing tax documents today.,Temporary task.,temporary1.csv
rc_098,I always take a break around 3 p.m.,1,useful_recurring_context,3,User usually takes a break around 3 p.m.,Recurring routine.,recurrent1.csv
